STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,Mechanics of Aircraft Materials,,,
2.12,TR4043,Cảm biến và tín hiệu,3,,
,,Sensors and Signals,,,
2.13,TR3055,Các hệ thời gian thực,3,EE2011(KN),
,,Real-Time or Embedded Systems,,,
2.14,TR3063,Phân tích thiết kế hệ điều khiển,3,EE2011(KN),
,,Control-Command Systems: Analysis and Design,,,
2.15,TR4067,Nhận dạng hệ thống máy bay,3,,
,,Aircraft System Identification,,,
2.16,TR4069,Điện - điện tử hàng không,3,,
,,Avionics,,,
2.17,TR4071,Thiết kế tối ưu,3,,
,,Design Optimization,,,
,,Học kỳ 8 (Semester 8),,,
,,Các học phần bắt buộc (Compulsary Courses),,,
1,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
,,Ho Chi Minh Ideology,,,
2,EN1003,Con người và môi trường,3,,
,,Humans and the Environment,,,
3,TR4367,Đồ án tốt nghiệp,4,TR3365(TQ) TR4079(TQ),
,,Capstone Project,,,
,,Các học phần tự chọn (Elective Courses),,,
,,Tự chọn tự do 3 tín chỉ,,,
1,,Free Electives 3 credits,,,
,,Tự chọn nhóm B (chọn 3 tín chỉ trong các học phần sau),,,
2,,Elective Courses - Group B (Select 3 credits in the group of courses below),,,
2.1,TR4047,Phương pháp số - động lực học lưu chất,3,TR3011(KN),
,,Computational Fluid Dynamics,,,
2.2,TR4051,Phương pháp phần tử hữu hạn,3,,
,,Finite Element Method,,,
2.3,TR3087,Khí đàn hồi,3,TR3011(KN) TR3135(KN),
,,Aeroelasticity,,,
2.4,TR4057,Hệ thống lực đẩy hỏa tiễn,3,TR3011(KN) TR3137(KN),
,,Rocket Engines,,,
2.5,TR3029,Động cơ gió,3,TR2011(KN),
,,Wind Turbines,,,
2.6,TR3083,Máy thủy khí,3,ME2013(KN) TR1005(KN),
,,Fluid Machinery,,,
2.7,TR4083,Động cơ tuabin,3,,
,,Turbine Engines,,,
2.8,TR4095,Máy bay trực thăng,3,,
,,Vertical Take-off and Landing Aircraft,,,
2.9,TR4097,Cơ học rạn nứt và mỏi,3,,
,,Fracture Mechanics and Fatigue,,,
2.10,TR4073,Cơ học va chạm,3,,
,,Impact Mechanics,,,
2.11,TR3003,Cơ học vật liệu hàng không,3,MT1003(KN) MT1005(KN) PH1003(KN) PH1005(KN),
,,Mechanics of Aircraft Materials,,,
2.12,TR4043,Cảm biến và tín hiệu,3,,
,,Sensors and Signals,,,
2.13,TR3055,Các hệ thời gian thực,3,EE2011(KN),
,,Real-Time or Embedded Systems,,,
2.14,TR3063,Phân tích thiết kế hệ điều khiển,3,EE2011(KN),
,,Control-Command Systems: Analysis and Design,,,
2.15,TR4067,Nhận dạng hệ thống máy bay,3,,
,,Aircraft System Identification,,,
2.16,TR4069,Điện - điện tử hàng không,3,,
,,Avionics,,,
2.17,TR4071,Thiết kế tối ưu,3,,
,,Design Optimization,,,
