STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,F.4. Chuyên ngành Kỹ thuật máy tính (Specialty Computer Engineering) [TC],9,,
1,CO2035,Xử lý Tín hiệu số,3,,
,,Digital Signal Processing,,,
2,CO3007,Đánh giá Hiệu năng Hệ thống,3,MT2013(KN),
,,System Performance Evaluation,,,
3,CO3021,Hệ Quản trị Cơ sở Dữ Liệu,3,CO2013(KN),
,,Database Management Systems,,,
4,CO3035,Hệ thời gian thực,3,,
,,Real-Time Systems,,,
5,CO3037,Phát triển Ứng dụng Internet of Things,3,,
,,Internet of Things Application Development,,,
6,CO3049,Lập trình Web,3,,
,,Web Programming,,,
7,CO3051,Hệ thống thiết bị di động,3,,
,,Mobile Systems,,,
8,CO3067,Tính toán Song song,3,,
,,Parallel Computing,,,
9,CO3069,Mật mã và An ninh mạng,3,,
,,Cryptography and Network Security,,,
10,CO3071,Hệ phân bố,3,,
,,Distributed Systems,,,
11,CO3141,Điện toán đám mây,3,CO2017(KN),
,,Cloud computing,,,
12,CO3143,Giới thiệu hệ thống trên chip,3,CO2007(KN) CO1025(KN) CO1023(KN),
,,Introduction to System on Chip,,,
13,CO3145,Thiết kế luận lý với HDL nâng cao,3,CO2007(KN) CO1025(KN) CO1023(KN),
,,Advanced Logic Design with HDL,,,
14,CO3147,Thiết kế vi mạch nâng cao,3,CO3097(KN),
,,Advanced VLSI design,,,
15,CO3149,Tổng hợp luận lý vi mạch,3,CO1025(KN) CO1023(KN),
,,Logic Synthesis,,,
,,G. Tự chọn tự do (Free elective courses) [BB],9,,
,,H. Học phần tốt nghiệp (Graduation module courses) [BB],8,,
1,CO3345,Thực tập Ngoài trường,2,CO2017(HT) CO2011(HT) CO2007(HT) CO2003(HT) CO1027(HT) CO1023(HT) CO1007(HT) CO1005(HT),
,,Internship,,,
2,CO4041,Đồ án môn học Kỹ thuật Máy tính,2,CO3345(SHT),X
,,Computer Engineering Project,,,
3,CO4347,Đồ án Tốt nghiệp (Kỹ thuật Máy tính),4,CO4041(TQ) CO3345(TQ),X
,,Capstone Project,,,
,,I. Giáo dục quốc phòng (National defense education) [BB],0,,
1,MI1003,Giáo dục Quốc phòng,0,,
,,Military Training,,,
,,J. Giáo dục thể chất (Physical education) [BB],0,,
,,J.1. Giáo dục thể chất (Physical education part 1) [BB],0,,
1,PE1009,Bóng đá (Học phần 1),0,,
,,Football,,,
2,PE1011,Bóng chuyền (Học phần 1),0,,
,,Volleyball,,,
3,PE1013,Bóng bàn (Học phần 1),0,,
,,Table tennis,,,
4,PE1015,Bóng rổ (Học phần 1),0,,
,,Basketball,,,
5,PE1017,Cầu lông (Học phần 1),0,,
,,Badminton,,,
6,PE1019,Bơi (học Phần 1),0,,
,,Swimming,,,
7,PE1021,Aerobic (học Phần 1),0,,
,,Aerobic,,,
8,PE1025,Điền kinh (Học phần 1),0,,
,,AThletics,,,
9,PE1027,Quần vợt (Học phần 1),0,,
,,Tennis,,,
10,PE1053,Cờ vua (Học phần 1),0,,
,,Chess,,,
11,PE1057,Bowling (học phần 1),0,,
,,Bowling,,,
12,PE1061,Pickleball (học phần 1),0,,
,,Pickleball,,,
,,J.2. Giáo dục thể chất (Physical education part 2) [BB],0,,
1,PE1033,Bóng đá (Học phần 2),0,,
,,Football,,,
2,PE1035,Bóng chuyền (Học phần 2),0,,
,,Volleyball,,,
3,PE1037,Bóng bàn (Học phần 2),0,,
,,Table tennis,,,
4,PE1039,Bóng rổ (Học phần 2),0,,
,,Basketball,,,
5,PE1041,Cầu lông (Học phần 2),0,,
,,Badminton,,,
6,PE1043,Bơi (học Phần 2),0,,
,,Swimming,,,
7,PE1045,Aerobic (học Phần 2),0,,
,,Aerobic,,,
8,PE1049,Điền kinh (học phần 2),0,,
,,Athletics,,,
9,PE1051,Quần vợt (Học phần 2),0,,
,,Tennis,,,
10,PE1055,Cờ vua (học phần 2),0,,
,,Chess,,,
11,PE1059,Bowling (học phần 2),0,,
,,Bowling,,,
12,PE1063,Pickleball (học phần 2),0,,
,,Pickleball,,,
,,K. Điều kiện tốt nghiệp (Graduation requirements) [BB],0,,
1,SA4001,Hoạt động sinh viên,0,,
,,Student Activities,,,
2,ENG_GC,Điều kiện tiếng Anh tốt nghiệp,0,,
,,English Requirement for Graduation,,,
