STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
11,MA4179,Lựa chọn và sử dụng vật liệu kỹ thuật,3,,
,,Materials and Process Selection for Engineering Design,,,
,,II.2 Chuyên ngành: Kỹ thuật Vật liệu Năng lượng,,,
,,Speciality: Energy Materials Engineering,,,
,,Tự chọn tự do (Free Elective),9,,Tối thiểu 9 TC`
,,Free Elective,,,
,,Các môn tự chọn nhóm quản lý (Elective Courses - Management Group),3,,Tối thiểu 3 TC`
,,Elective Courses - Management Group,,,
,,Quản lý,,,
,,Management for Engineers,,,
,,Các môn tự chọn nhóm chuyên ngành (Elective Speciality Courses - Group),,,Tối thiểu 3 TC`
,,Elective Speciality Courses - Group,,,
,,Chuyên ngành,,,
,,Speciality Courses,,,
4,MA2041,Hóa vô cơ - Công nghệ Vật liệu,3,,
,,Inorganic Chemistry,,,
,,Cơ sở ngành,,,
,,Core Courses,,,
5,MA2011,Điện hóa học,3,,
,,Electrochemistry,,,
,,Chuyên ngành,,,
,,Speciality Courses,,,
6,MA2013,Các nguồn năng lượng tái tạo,3,,
,,Renewable Energy Resources,,,
7,MA3007,Phương pháp đánh giá vật liệu,3,,
,,Characterization of Materials,,,
8,MA3011,Hóa học xúc tác,3,,
,,Chemical Catalysis,,,
9,MA3031,Vật liệu chuyển hóa và tồn trữ năng lượng,3,,
,,Materials for Energy Storage and Conversion,,,
10,MA3099,Thí nghiệm điện hóa học,2,,
,,Experiments in Electrochemistry,,,
11,MA3149,Thí nghiệm chế tạo các hệ năng lượng,1,,
,,Experiments in Energy Systems Fabrication,,,
12,MA4111,Thí nghiệm phân tích hóa lý,1,,
,,Experiments in Physicochemical Analysis,,,
13,MA4113,Vật liệu tiên tiến trong các hệ năng lượng,3,,
,,Advanced Materials for Energy Systems,,,
,,Tốt nghiệp,,,
,,Graduation Practice/Projects,,,
14,MA3325,Thực tập ngoài trường,2,,
,,Internship,,,
15,MA4071,Đồ án chuyên ngành,2,,
,,Specialized Project,,,
16,MA4327,Đồ án tốt nghiệp,4,,
,,Capstone Project,,,
,,Các môn tự chọn nhóm quản lý (Elective Courses - Management Group),3,,Tối thiểu 3 TC`
,,Elective Courses - Management Group,,,
1,IM1013,Kinh tế học đại cương,3,,
,,Economics,,,
2,IM1021,Khởi nghiệp,3,,
,,Entrepreneurship,,,
3,IM1023,Quản lý sản xuất cho kỹ sư,3,,
,,Production and Operations Management for Engineers,,,
4,IM1025,Quản lý dự án cho kỹ sư,3,,
,,Project Management for Engineers,,,
5,IM1027,Kinh tế kỹ thuật,3,,
,,Engineering Economics,,,
6,IM3001,Quản trị kinh doanh cho kỹ sư,3,,
,,Business Administration for Engineers,,,
,,Các môn tự chọn nhóm chuyên ngành (Elective Speciality Courses - Group),,,
,,Elective Speciality Courses - Group,,,
1,MA4115,Các phương pháp gia công vật liệu,3,,
,,Materials Processing Technologies,,,
2,MA4117,Polyme dẫn điện,3,,
,,Conducting Polymers,,,
3,MA4119,Vật liệu và công nghệ quang khắc,3,,
,,Materials and Lithography Technology,,,
4,MA4121,Kỹ thuật tính toán và mô phỏng,3,,
,,Calculation and Simulation Techniques,,,
,,II.3 Chuyên ngành: Kỹ thuật Vật liệu,,,
,,Speciality: Materials Engineering,,,
,,Tự chọn tự do (Free Elective),9,,Tối thiểu 9 TC`
,,Free Elective,,,
