STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
8,TR2017,Thiết bị năng lượng tàu thủy 1,3,,X
,,Ship Power Plants 1,,,,
9,TR2037,Lý thuyết tàu thủy 1 - tĩnh học,4,,X
,,Ship Theory 1 - Hydrostatic,,,,
10,TR3005,Lý thuyết tàu thủy 2 - động lực học,3,TR1005(KN),X
,,Ship Theory 2 - Hydrodynamic,,,,
11,TR3037,Các hệ thống trang thiết bị tàu,3,,X
,,Outfitting,,,,
12,TR3057,Phương pháp phân tích kết cấu tàu,3,,X
,,Structural Analysis of Ship,,,,
,,Chuyên ngành 2: Kỹ thuật Hàng không,,,,
,,Speciality 2: Aerospace Engineering,,,,
13,TR2011,Khí động lực học 1,3,TR1005(KN),X
,,Aerodynamics 1 - Incompressible Aerodynamics,,,,
14,TR3001,Cơ học bay,3,,X
,,Flight Mechanics,,,,
15,TR3003,Cơ học vật liệu hàng không,3,MT1003(KN) MT1005(KN) PH1003(KN) PH1005(KN),
,,Mechanics of Aircraft Materials,,,,
16,TR3011,Khí động lực học 2,3,TR2011(KN),X
,,Aerodynamics 2 - Compressible Aerodynamics,,,,
17,TR3039,Ổn định và điều khiển bay,3,TR3001(KN),X
,,Aircraft Stability and Control,,,,
18,TR3051,Thí nghiệm kỹ thuật hàng không 2,1,TR3077(KN),
,,Aerospace Engineering Lab 2,,,,
19,TR3077,Thí nghiệm kỹ thuật hàng không 1,1,,
,,Aerospace Engineering Lab 1,,,,
20,TR3135,Phân tích kết cấu máy bay,3,,X
,,Aircraft Structures Analysis,,,,
21,TR3137,Hệ thống lực đẩy máy bay,3,,
,,Aircraft Propulsion Systems,,,,
22,TR4015,Thí nghiệm kỹ thuật hàng không 3,1,TR3051(KN),X
,,Aerospace Engineering Lab 3,,,,
23,TR4081,Thiết kế máy bay,3,TR2011(KN) TR3001(KN) TR3135(KN),X
,,Aircraft Design,,,,
,,Chuyên ngành,,,,
,,Speciality,,,,
,,Nhóm tự chọn A (chọn 12 tín chỉ trong các học phần sau),,,,
,,Elective Courses - Group A (Select 12 credits in the group of courses below),,,,
24,TR3017,Kết cấu và sức bền tàu,3,TR2035(KN),
,,Ship Structure and Strength,,,,
25,TR3019,Thiết bị năng lượng tàu thủy 2,3,ME2013(KN),
,,Ship Power Plants 2,,,,
26,TR3027,Thiết kế hệ thống động lực tàu thủy,3,TR2017(KN) TR3019(KN),
,,Marine System Design,,,,
27,TR3053,Thiết kế tàu thủy,3,,
,,Ship Design,,,,
28,TR3061,Công nghệ đóng tàu và tổ chức sản xuất,3,,
,,Ship Production & Shipyard Management,,,,
29,TR3085,Trang bị điện - điện tử tàu thủy,3,EE2011(KN),
,,Marine Electrical and Electronic Equipments,,,,
30,TR3133,Động lực học tàu thủy và công trình ngoài khơi,3,,
,,Dynamics of Ship & Offshore Structures,,,,
,,Nhóm tự chọn B (chọn 3 tín chỉ trong các học phần sau),,,,
,,Elective Courses - Group B (Select 3 credits in the group of courses below),,,,
31,TR3029,Động cơ gió,3,TR1005(KN),
,,Wind Turbines,,,,
32,TR3055,Các hệ thời gian thực,3,,
,,Real-Time or Embedded Systems,,,,
33,TR3063,Phân tích thiết kế hệ điều khiển,3,,
,,Control-Command Systems: Analysis and Design,,,,
34,TR3083,Máy thủy khí,3,TR1005(KN),
,,Fluid Machinery,,,,
35,TR3087,Khí đàn hồi,3,TR3011(KN) TR3135(KN),
,,Aeroelasticity,,,,
36,TR4043,Cảm biến và tín hiệu,3,,
,,Sensors and Signals,,,,
37,TR4047,Phương pháp số - động lực học lưu chất,3,TR1005(TQ),
,,Computational Fluid Dynamics,,,,
38,TR4051,Phương pháp phần tử hữu hạn,3,,
,,Finite Element Method,,,,
39,TR4057,Hệ thống lực đẩy hỏa tiễn,3,TR3011(KN) TR3137(KN),
,,Rocket Engines,,,,
40,TR4067,Nhận dạng hệ thống máy bay,3,,
,,Aircraft System Identification,,,,
41,TR4069,Điện - điện tử hàng không,3,,
,,Avionics,,,,
42,TR4071,Thiết kế tối ưu,3,,
,,Design Optimization,,,,
43,TR4073,Cơ học va chạm,3,,
,,Impact Mechanics,,,,
44,TR4083,Động cơ tuabin,3,,
,,Turbine Engines,,,,
45,TR4095,Máy bay trực thăng,3,,
,,Vertical Take-off and Landing Aircraft,,,,
46,TR4097,Cơ học rạn nứt và mỏi,3,,
,,Fracture Mechanics and Fatigue,,,,
,,Tốt nghiệp,,,,
,,Graduation,,,,
47,TR3375,Thực tập ngoài trường,2,,
,,Internship,,,,
48,TR4079,Đồ án chuyên ngành hàng không,2,TR2011(KN) TR3001(KN) TR3135(KN) TR3375(SH),
,,Aerospace Engineering Design Project,,,,
49,TR4093,Đồ án chuyên ngành (Kỹ thuật tàu thủy),2,TR3375(SH),
,,Project,,,,
50,TR4377,Đồ án tốt nghiệp,6,TR3375(TQ) TR4079(TQ) TR4093(TQ),
,,Capstone Project,,,,
3,,3. Tự chọn tự do: 9 tín chỉ,,,,
,,Free Electives: 9 Credits,,,,
4,,4. Chứng chỉ,,,,
,,Certification,,,,
1,,Giáo dục quốc phòng,,,
,,Military Trainning,,,,
2,,Giáo dục thể chất,,,
,,Physical Education,,,,
