STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,Climate Change,,,
3,EN4347,Đồ án tốt nghiệp,4,,
,,Capstone Project,,,
,,Các môn tự chọn tự do (chọn 3 tín chỉ),,,
,,Tự chọn tự do,3,,
,,Free Elective,,,
,,Các môn tự chọn nhóm B (chọn 3 tín chỉ trong các môn học sau),,,
5,CI2001,Sức bền vật liệu,3,,
,,Strength of Materials,,,
6,CI3281,Kết cấu công trình xây dựng - môi trường,3,,
,,Analysis and Design of Structures for Enviromental Engineers,,,
7,EN3023,Kỹ thuật sinh thái,3,,
,,Ecological Engineering,,,
8,EN3117,Vận hành công trình xử lý môi trường,3,,
,,Unit Operations in Environmental Engineering,,,
9,EN3111,Các quá trình cơ học trong kỹ thuật môi trường,3,,
,,Mechanical Process in Environmental Engineering,,,
10,EN3043,Kỹ thuật lò đốt chất thải,3,,
,,Waste Incinerator Engineering,,,
11,EN2017,Mô hình hóa môi trường,3,,
,,Environmental Modelling,,,
12,EN3073,An toàn lao động và vệ sinh môi trường công nghiệp,3,,
,,Industrial Safety and Environemental Hygiene,,,
13,EN2033,Luật và chính sách môi trường,3,,
,,Environmental Law and Policy,,,
14,EN2035,Thủy văn môi trường,3,,
,,Environmental Hydrology,,,
15,ME3381,Nhiệt động lực học kỹ thuật,3,,
,,Engineering Thermodynamics,,,
16,EN3011,Độc học môi trường,3,,
,,Environmental Toxicology,,,
17,EN3113,Quản lý và kỹ thuật xử lý đất ô nhiễm,3,,
,,Contaminated Soil Remediation Engineering and Management,,,
18,EN4029,Phân tích dữ liệu GIS và viễn thám trong quản lý tài nguyên và môi trường,3,,
,,Data Analysis of GIS and Remote Sensing for Natural Resources and Environmental Management,,,
19,EN3079,Các hệ thống quản lý môi trường,3,,
,,Environmental Management Systems,,,
20,EN3071,Phân tích hệ thống môi trường,3,,
,,Environmental Systems Analysis,,,
21,EN3083,Quan trắc môi trường,3,,
,,Environmental Monitoring,,,
22,EN3037,Quản lý môi trường đô thị và khu công nghiệp,3,,
,,Environmental Management In Urban & Industrial Park,,,
