STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,Quality and Productivity Management,,,
2.3,GE2099,Khoa học Trái Đất ứng dụng và Kinh tế tuần hoàn,3,,
,,Applied earth science and circular economy,,,
2.4,GE3153,Quản lý Tài nguyên Đất và Khoáng sản,3,,
,,Management of Land and Mineral Resources,,,
2.5,GE3245,Quản lý dự án,3,,
,,Project management,,,
,,Kế hoạch giảng dạy (học kỳ 7 năm 4),,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,GE4175,Đánh giá tác động môi trường,3,,
,,Environmental impact assessment,,,
2,GE4143,Đồ án Chuyên ngành,2,,
,,Project,,,
3,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
,,Ho Chi Minh Ideology,,,
,,Các học phần tự chọn (Elective Courses),,,
1,,Nhóm tự chọn B,,,
,,Elective Courses - Group B,,,
1.1,GE3141,Địa thống kê,3,MT2013(HT),
,,Geostatistics,,,
1.2,GE4033,Nền móng Công trình,3,,
,,Foundation,,,
1.3,GE3247,Địa vật lý ứng dụng,3,,
,,Applied geophysics,,,
1.4,GE3037,Thực tập Kỹ thuật Phân tích các Chỉ tiêu của Môi trường Địa chất,1,,
,,Practice of Analysis Engineering for Geo-Environmental Indexes,,,
1.5,GE4173,Xử lý môi trường địa chất,2,,
,,Underground Remediation,,,
1.6,GE2075,Thực hành các phương pháp khảo sát và TN hiện trường,1,GE2073(SHT),
,,Practice in methods of investigation and in-situ test,,,
2,,Tự chọn tự do,3,,
,,Free Elective,,,
3,,Nhóm tự chọn A,,,
,,Elective Courses - Group A,,,
3.1,GE3137,Công trình Xây dựng,3,,
,,Construction Engineering,,,
3.2,GE2075,Thực hành các phương pháp khảo sát và TN hiện trường,1,GE2073(SHT),
,,Practice in methods of investigation and in-situ test,,,
3.3,GE2083,Cơ học đá,3,GE2081(SHT),
,,Rock Mechanics,,,
3.4,GE3203,Ứng dụng GIS và Viễn Thám trong Quản lý Tài nguyên,3,GE2043(HT),
,,GIS in Resource Mangement,,,
3.5,GE3279,Kiểm kê khí thải,3,,
,,Carbon Auditing,,,
,,Kế hoạch giảng dạy (học kỳ 8 năm 4),,,
,,Các học phần bắt buộc (Compulsory Courses),,,
1,GE4177,Thiết kế và giải pháp thi công đê kè và mái dốc,3,,
,,Design and construction solutions of dikes and slopes,,,
2,GE4337,Đồ án Tốt nghiệp,4,GE3335(TQ) GE4143(TQ),
,,Capstone Project,,,
3,SP1007,Pháp luật Việt Nam Đại cương,2,,
,,Introduction to VietNamese Law,,,
4,ENG GC,Điều kiện tiếng Anh tốt nghiệp,0,,
,,English Requirement for Graduation,,,
5,SA4001,Hoạt động sinh viên,0,,
,,Student Activities,,,
,,Các học phần tự chọn (Elective Courses),,,
1,,Nhóm tự chọn C,,,
,,Elective Courses - Group C,,,
1.1,GE4181,Địa kỹ thuật công trình biển,3,,
,,Geotechnical Engineering for Offshore construction,,,
1.2,GE4069,Địa chất Động lực Công trình + Kiến tập,3,,
,,Geodynamics Engineering and Practice,,,
1.3,GE4205,Ứng dụng công nghệ mới trong kỹ thuật địa chất,3,,
,,Applied New Technology for Geological Engineering,,,
1.4,GE4179,Quan trắc địa kỹ thuật,3,,
,,Geotechnical monitoring,,,
2,,Tự chọn tự do,3,,
,,Free Elective,,,
